species,latitude,longitude,year,eventID
Cyclotrachelus freitagi,35.66449,-83.524234,2016,GRSM.2016.18
Pterostichus acutipes,35.679121,-83.482275,2016,GRSM.2016.18
Gastrellarius blanchardi,35.66449,-83.524234,2016,GRSM.2016.18
Tachys laevus,35.66449,-83.524234,2016,GRSM.2016.18
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.18
Dicaelus dilatatus,35.66449,-83.524234,2016,GRSM.2016.20
Pterostichus acutipes,35.66449,-83.524234,2016,GRSM.2016.20
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.20
Dicaelus teter,35.679121,-83.482275,2016,GRSM.2016.20
Sphaeroderus canadensis,35.679121,-83.482275,2016,GRSM.2016.20
Carabus goryi,35.66449,-83.524234,2016,GRSM.2016.18
Pterostichus acutipes,35.670778,-83.481653,2016,GRSM.2016.18
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.18
Carabus goryi,35.679121,-83.482275,2016,GRSM.2016.18
Carabus goryi,35.684589,-83.532102,2016,GRSM.2016.18
Sphaeroderus canadensis,35.670778,-83.481653,2016,GRSM.2016.18
Dicaelus dilatatus,35.679121,-83.482275,2016,GRSM.2016.18
Sphaeroderus canadensis,35.679121,-83.482275,2016,GRSM.2016.18
Carabus goryi,35.66449,-83.524234,2016,GRSM.2016.20
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.20
Carabus goryi,35.679121,-83.482275,2016,GRSM.2016.20
Carabus goryi,35.684589,-83.532102,2016,GRSM.2016.20
Sphaeroderus canadensis,35.66449,-83.524234,2016,GRSM.2016.20
Pterostichus acutipes,35.66449,-83.524234,2016,GRSM.2016.20
Pasimachus punctulatus,35.66449,-83.524234,2016,GRSM.2016.20
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.20
Carabus goryi,35.684589,-83.532102,2016,GRSM.2016.18
Pasimachus punctulatus,35.66449,-83.524234,2016,GRSM.2016.18
Sphaeroderus stenostomus,35.66449,-83.524234,2016,GRSM.2016.18
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.18
Dicaelus teter,35.679121,-83.482275,2016,GRSM.2016.20
Dicaelus teter,35.679121,-83.482275,2016,GRSM.2016.20
Sphaeroderus stenostomus,35.679121,-83.482275,2016,GRSM.2016.20
Sphaeroderus stenostomus,35.670778,-83.481653,2016,GRSM.2016.20
Cyclotrachelus freitagi,35.684589,-83.532102,2016,GRSM.2016.24
Dicaelus teter,35.684589,-83.532102,2016,GRSM.2016.24
Pterostichus acutipes,35.670778,-83.481653,2016,GRSM.2016.24
Pterostichus acutipes,35.66449,-83.524234,2016,GRSM.2016.24
Pasimachus punctulatus,35.66449,-83.524234,2016,GRSM.2016.24
Cyclotrachelus freitagi,35.66449,-83.524234,2016,GRSM.2016.24
Carabus goryi,35.66449,-83.524234,2016,GRSM.2016.24
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.24
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.24
Dicaelus teter,35.679121,-83.482275,2016,GRSM.2016.24
Carabus goryi,35.679121,-83.482275,2016,GRSM.2016.24
Galerita bicolor,35.684589,-83.532102,2016,GRSM.2016.24
Dicaelus dilatatus,35.684589,-83.532102,2016,GRSM.2016.24
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.24
Carabus goryi,35.684589,-83.532102,2016,GRSM.2016.24
Sphaeroderus canadensis,35.66449,-83.524234,2016,GRSM.2016.24
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.24
Dicaelus teter,35.684589,-83.532102,2016,GRSM.2016.24
Carabus goryi,35.66449,-83.524234,2016,GRSM.2016.24
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.24
Galerita bicolor,35.679121,-83.482275,2016,GRSM.2016.24
Sphaeroderus stenostomus,35.670778,-83.481653,2016,GRSM.2016.24
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.24
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.24
Sphaeroderus stenostomus,35.670778,-83.481653,2016,GRSM.2016.24
Dicaelus dilatatus,35.679121,-83.482275,2016,GRSM.2016.28
Cyclotrachelus freitagi,35.670778,-83.481653,2016,GRSM.2016.28
Pterostichus moestus,35.670778,-83.481653,2016,GRSM.2016.28
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.28
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.28
Pasimachus punctulatus,35.66449,-83.524234,2016,GRSM.2016.28
Dicaelus dilatatus,35.66449,-83.524234,2016,GRSM.2016.28
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.28
Cyclotrachelus freitagi,35.670778,-83.481653,2016,GRSM.2016.28
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.28
Carabus goryi,35.679121,-83.482275,2016,GRSM.2016.28
Galerita bicolor,35.684589,-83.532102,2016,GRSM.2016.28
Dicaelus dilatatus,35.684589,-83.532102,2016,GRSM.2016.28
Carabus goryi,35.684589,-83.532102,2016,GRSM.2016.28
Cyclotrachelus freitagi,35.66449,-83.524234,2016,GRSM.2016.28
Carabus goryi,35.66449,-83.524234,2016,GRSM.2016.28
Cyclotrachelus sigillatus,35.66449,-83.524234,2016,GRSM.2016.28
Pterostichus acutipes,35.670778,-83.481653,2016,GRSM.2016.28
Cyclotrachelus sigillatus,35.670778,-83.481653,2016,GRSM.2016.28
Dicaelus teter,35.679121,-83.482275,2016,GRSM.2016.28
Dicaelus dilatatus,35.679121,-83.482275,2016,GRSM.2016.28
Pterostichus acutipes,35.679121,-83.482275,2016,GRSM.2016.28
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.28
Cyclotrachelus freitagi,35.66449,-83.524234,2016,GRSM.2016.28
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.28
Carabus goryi,35.679121,-83.482275,2016,GRSM.2016.28
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.28
Cyclotrachelus sigillatus,35.66449,-83.524234,2016,GRSM.2016.28
Pasimachus punctulatus,35.66449,-83.524234,2016,GRSM.2016.28
Pterostichus acutipes,35.684589,-83.532102,2016,GRSM.2016.32
Pterostichus acutipes,35.679121,-83.482275,2016,GRSM.2016.32
Pterostichus moestus,35.670778,-83.481653,2016,GRSM.2016.32
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.32
Pterostichus acutipes,35.670778,-83.481653,2016,GRSM.2016.32
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.32
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.32
Dicaelus teter,35.679121,-83.482275,2016,GRSM.2016.32
Dicaelus dilatatus,35.679121,-83.482275,2016,GRSM.2016.32
Carabus goryi,35.679121,-83.482275,2016,GRSM.2016.32
Cyclotrachelus sigillatus,35.66449,-83.524234,2016,GRSM.2016.32
Pasimachus punctulatus,35.66449,-83.524234,2016,GRSM.2016.32
Cyclotrachelus sigillatus,35.670778,-83.481653,2016,GRSM.2016.32
Dicaelus dilatatus,35.684589,-83.532102,2016,GRSM.2016.32
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.32
Dicaelus teter,35.679121,-83.482275,2016,GRSM.2016.32
Cyclotrachelus sigillatus,35.670778,-83.481653,2016,GRSM.2016.32
Pterostichus moestus,35.670778,-83.481653,2016,GRSM.2016.32
Pterostichus moestus,35.670778,-83.481653,2016,GRSM.2016.32
Carabus goryi,35.684589,-83.532102,2016,GRSM.2016.32
Cyclotrachelus sigillatus,35.679121,-83.482275,2016,GRSM.2016.32
Cyclotrachelus freitagi,35.679121,-83.482275,2016,GRSM.2016.32
Sphaeroderus stenostomus,35.679121,-83.482275,2016,GRSM.2016.32
Galerita bicolor,35.679121,-83.482275,2016,GRSM.2016.32
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.32
Pterostichus moestus,35.670778,-83.481653,2016,GRSM.2016.32
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.32
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.36
Dicaelus dilatatus,35.670778,-83.481653,2016,GRSM.2016.36
Pterostichus moestus,35.679121,-83.482275,2016,GRSM.2016.36
Dicaelus teter,35.679121,-83.482275,2016,GRSM.2016.36
Scaphinotus andrewsii,35.670778,-83.481653,2016,GRSM.2016.36
Pterostichus acutipes,35.66449,-83.524234,2016,GRSM.2016.36
Cyclotrachelus sigillatus,35.66449,-83.524234,2016,GRSM.2016.36
Pterostichus acutipes,35.670778,-83.481653,2016,GRSM.2016.36
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.36
Cyclotrachelus sigillatus,35.670778,-83.481653,2016,GRSM.2016.36
Pterostichus acutipes,35.679121,-83.482275,2016,GRSM.2016.36
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.36
Cyclotrachelus freitagi,35.66449,-83.524234,2016,GRSM.2016.36
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.36
Cyclotrachelus freitagi,35.679121,-83.482275,2016,GRSM.2016.36
Dicaelus dilatatus,35.679121,-83.482275,2016,GRSM.2016.36
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.36
Pterostichus acutipes,35.684589,-83.532102,2016,GRSM.2016.36
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.36
Carabus goryi,35.679121,-83.482275,2016,GRSM.2016.36
Galerita bicolor,35.66449,-83.524234,2016,GRSM.2016.36
Pterostichus moestus,35.670778,-83.481653,2016,GRSM.2016.36
Cylindera unipunctata,35.684589,-83.532102,2016,GRSM.2016.36
Sphaeroderus stenostomus,35.679121,-83.482275,2016,GRSM.2016.36
Cyclotrachelus freitagi,35.670778,-83.481653,2016,GRSM.2016.36
Cyclotrachelus sigillatus,35.679121,-83.482275,2016,GRSM.2016.36
Pterostichus tristis,35.684589,-83.532102,2016,GRSM.2016.36
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.30
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.30
Scaphinotus andrewsii,35.679121,-83.482275,2016,GRSM.2016.38
Cyclotrachelus freitagi,35.66449,-83.524234,2016,GRSM.2016.38
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.38
Dicaelus dilatatus,35.679121,-83.482275,2016,GRSM.2016.22
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.22
Pterostichus acutipes,35.670778,-83.481653,2016,GRSM.2016.22
Sphaeroderus bicarinatus,35.670778,-83.481653,2016,GRSM.2016.22
Cylindera unipunctata,35.66449,-83.524234,2016,GRSM.2016.22
Pterostichus acutipes,35.679121,-83.482275,2016,GRSM.2016.26
Pterostichus acutipes,35.66449,-83.524234,2016,GRSM.2016.26
Pterostichus tristis,35.679121,-83.482275,2016,GRSM.2016.30
Pterostichus moestus,35.670778,-83.481653,2016,GRSM.2016.30
Scaphinotus guyotii,35.679121,-83.482275,2016,GRSM.2016.30
Aulacopodus brouni,35.670778,-83.481653,2016,GRSM.2016.30
Pterostichus acutipes,35.684589,-83.532102,2016,GRSM.2016.34
Scaphinotus guyotii,35.670778,-83.481653,2016,GRSM.2016.34
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.34
Pterostichus moestus,35.670778,-83.481653,2016,GRSM.2016.34
Pterostichus moestus,35.679121,-83.482275,2016,GRSM.2016.34
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.34
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.34
Scaphinotus guyotii,35.670778,-83.481653,2016,GRSM.2016.34
Scaphinotus andrewsii,35.670778,-83.481653,2016,GRSM.2016.34
Scaphinotus andrewsii,35.679121,-83.482275,2016,GRSM.2016.34
Scaphinotus andrewsii,35.684589,-83.532102,2016,GRSM.2016.34
Pterostichus acutipes,35.670778,-83.481653,2016,GRSM.2016.34
Pterostichus tristis,35.66449,-83.524234,2016,GRSM.2016.38
Pterostichus tristis,35.670778,-83.481653,2016,GRSM.2016.38
Pterostichus acutipes,35.670778,-83.481653,2016,GRSM.2016.38
Pterostichus acutipes,35.66449,-83.524234,2016,GRSM.2016.38
Cyclotrachelus sigillatus,35.66449,-83.524234,2016,GRSM.2016.38
Pterostichus acutipes,35.679121,-83.482275,2016,GRSM.2016.38
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.38
Carabus goryi,35.66449,-83.524234,2016,GRSM.2016.22
Sphaeroderus canadensis,35.670778,-83.481653,2016,GRSM.2016.22
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.22
Carabus goryi,35.679121,-83.482275,2016,GRSM.2016.22
Carabus goryi,35.684589,-83.532102,2016,GRSM.2016.22
Pasimachus punctulatus,35.66449,-83.524234,2016,GRSM.2016.22
Cyclotrachelus sigillatus,35.670778,-83.481653,2016,GRSM.2016.22
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.22
Dicaelus teter,35.679121,-83.482275,2016,GRSM.2016.22
Sphaeroderus canadensis,35.679121,-83.482275,2016,GRSM.2016.22
Pterostichus acutipes,35.66449,-83.524234,2016,GRSM.2016.26
Carabus goryi,35.66449,-83.524234,2016,GRSM.2016.26
Pterostichus acutipes,35.670778,-83.481653,2016,GRSM.2016.26
Dicaelus teter,35.670778,-83.481653,2016,GRSM.2016.26
Carabus goryi,35.670778,-83.481653,2016,GRSM.2016.26
Carabus goryi,35.679121,-83.482275,2016,GRSM.2016.26
Sphaeroderus canadensis,35.684589,-83.532102,2016,GRSM.2016.26
Galerita bicolor,35.684589,-83.532102,2016,GRSM.2016.26
Dicaelus dilatatus,35.684589,-83.532102,2016,GRSM.2016.26
Cyclotrachelus sigillatus,35.684589,-83.532102,2016,GRSM.2016.26
Carabus goryi,35.684589,-83.532102,2016,GRSM.2016.26
Dicaelus dilatatus,35.66449,-83.524234,2016,GRSM.2016.26
Pasimachus punctulatus,35.66449,-83.524234,2016,GRSM.2016.26
Cyclotrachelus sigillatus,35.670778,-83.481653,2016,GRSM.2016.26
Sphaeroderus canadensis,35.670778,-83.481653,2016,GRSM.2016.26
Pasimachus punctulatus,35.679121,-83.482275,2016,GRSM.2016.26
Galerita bicolor,35.679121,-83.482275,2016,GRSM.2016.26
Dicaelus dilatatus,35.679121,-83.482275,2016,GRSM.2016.26
